Title,Day,Hour,OccupancyPercent
Sidewalk Jimbaran,Su,6,0
Sidewalk Jimbaran,Su,7,0
Sidewalk Jimbaran,Su,8,0
Sidewalk Jimbaran,Su,9,0
Sidewalk Jimbaran,Su,10,30
Sidewalk Jimbaran,Su,11,42
Sidewalk Jimbaran,Su,12,54
Sidewalk Jimbaran,Su,13,60
Sidewalk Jimbaran,Su,14,62
Sidewalk Jimbaran,Su,15,61
Sidewalk Jimbaran,Su,16,62
Sidewalk Jimbaran,Su,17,68
Sidewalk Jimbaran,Su,18,79
Sidewalk Jimbaran,Su,19,91
Sidewalk Jimbaran,Su,20,91
Sidewalk Jimbaran,Su,21,75
Sidewalk Jimbaran,Su,22,51
Sidewalk Jimbaran,Su,23,0
Sidewalk Jimbaran,Mo,6,0
Sidewalk Jimbaran,Mo,7,0
Sidewalk Jimbaran,Mo,8,0
Sidewalk Jimbaran,Mo,9,0
Sidewalk Jimbaran,Mo,10,30
Sidewalk Jimbaran,Mo,11,39
Sidewalk Jimbaran,Mo,12,47
Sidewalk Jimbaran,Mo,13,53
Sidewalk Jimbaran,Mo,14,55
Sidewalk Jimbaran,Mo,15,56
Sidewalk Jimbaran,Mo,16,57
Sidewalk Jimbaran,Mo,17,62
Sidewalk Jimbaran,Mo,18,69
Sidewalk Jimbaran,Mo,19,76
Sidewalk Jimbaran,Mo,20,75
Sidewalk Jimbaran,Mo,21,62
Sidewalk Jimbaran,Mo,22,0
Sidewalk Jimbaran,Mo,23,0
Sidewalk Jimbaran,Tu,6,0
Sidewalk Jimbaran,Tu,7,0
Sidewalk Jimbaran,Tu,8,0
Sidewalk Jimbaran,Tu,9,0
Sidewalk Jimbaran,Tu,10,32
Sidewalk Jimbaran,Tu,11,42
Sidewalk Jimbaran,Tu,12,50
Sidewalk Jimbaran,Tu,13,55
Sidewalk Jimbaran,Tu,14,56
Sidewalk Jimbaran,Tu,15,55
Sidewalk Jimbaran,Tu,16,56
Sidewalk Jimbaran,Tu,17,59
Sidewalk Jimbaran,Tu,18,69
Sidewalk Jimbaran,Tu,19,77
Sidewalk Jimbaran,Tu,20,78
Sidewalk Jimbaran,Tu,21,66
Sidewalk Jimbaran,Tu,22,0
Sidewalk Jimbaran,Tu,23,0
Sidewalk Jimbaran,We,6,0
Sidewalk Jimbaran,We,7,0
Sidewalk Jimbaran,We,8,0
Sidewalk Jimbaran,We,9,0
Sidewalk Jimbaran,We,10,29
Sidewalk Jimbaran,We,11,41
Sidewalk Jimbaran,We,12,51
Sidewalk Jimbaran,We,13,57
Sidewalk Jimbaran,We,14,58
Sidewalk Jimbaran,We,15,57
Sidewalk Jimbaran,We,16,56
Sidewalk Jimbaran,We,17,59
Sidewalk Jimbaran,We,18,70
Sidewalk Jimbaran,We,19,80
Sidewalk Jimbaran,We,20,81
Sidewalk Jimbaran,We,21,67
Sidewalk Jimbaran,We,22,0
Sidewalk Jimbaran,We,23,0
Sidewalk Jimbaran,Th,6,0
Sidewalk Jimbaran,Th,7,0
Sidewalk Jimbaran,Th,8,0
Sidewalk Jimbaran,Th,9,0
Sidewalk Jimbaran,Th,10,33
Sidewalk Jimbaran,Th,11,44
Sidewalk Jimbaran,Th,12,54
Sidewalk Jimbaran,Th,13,60
Sidewalk Jimbaran,Th,14,60
Sidewalk Jimbaran,Th,15,59
Sidewalk Jimbaran,Th,16,58
Sidewalk Jimbaran,Th,17,61
Sidewalk Jimbaran,Th,18,70
Sidewalk Jimbaran,Th,19,79
Sidewalk Jimbaran,Th,20,80
Sidewalk Jimbaran,Th,21,69
Sidewalk Jimbaran,Th,22,0
Sidewalk Jimbaran,Th,23,0
Sidewalk Jimbaran,Fr,6,0
Sidewalk Jimbaran,Fr,7,0
Sidewalk Jimbaran,Fr,8,0
Sidewalk Jimbaran,Fr,9,0
Sidewalk Jimbaran,Fr,10,37
Sidewalk Jimbaran,Fr,11,47
Sidewalk Jimbaran,Fr,12,54
Sidewalk Jimbaran,Fr,13,60
Sidewalk Jimbaran,Fr,14,63
Sidewalk Jimbaran,Fr,15,65
Sidewalk Jimbaran,Fr,16,63
Sidewalk Jimbaran,Fr,17,65
Sidewalk Jimbaran,Fr,18,72
Sidewalk Jimbaran,Fr,19,81
Sidewalk Jimbaran,Fr,20,84
Sidewalk Jimbaran,Fr,21,72
Sidewalk Jimbaran,Fr,22,53
Sidewalk Jimbaran,Fr,23,0
Sidewalk Jimbaran,Sa,6,0
Sidewalk Jimbaran,Sa,7,0
Sidewalk Jimbaran,Sa,8,0
Sidewalk Jimbaran,Sa,9,0
Sidewalk Jimbaran,Sa,10,35
Sidewalk Jimbaran,Sa,11,47
Sidewalk Jimbaran,Sa,12,55
Sidewalk Jimbaran,Sa,13,59
Sidewalk Jimbaran,Sa,14,61
Sidewalk Jimbaran,Sa,15,61
Sidewalk Jimbaran,Sa,16,63
Sidewalk Jimbaran,Sa,17,69
Sidewalk Jimbaran,Sa,18,82
Sidewalk Jimbaran,Sa,19,95
Sidewalk Jimbaran,Sa,20,100
Sidewalk Jimbaran,Sa,21,86
Sidewalk Jimbaran,Sa,22,63
Sidewalk Jimbaran,Sa,23,0
