Title,Date,Hour,OccupancyPercent,Nyepi,Galungan,Kuningan,Saraswati,Pagerwesi,Weather,Temperature,Label
Sidewalk Jimbaran,2024-01-01,6,0,False,False,False,False,False,Cloudy,29.6,Tidak Ramai
Sidewalk Jimbaran,2024-01-01,7,0,False,False,False,False,False,Sunny,29.2,Tidak Ramai
Sidewalk Jimbaran,2024-01-01,8,0,False,False,False,False,False,Rainy,26.8,Tidak Ramai
Sidewalk Jimbaran,2024-01-01,9,0,False,False,False,False,False,Sunny,31.0,Tidak Ramai
Sidewalk Jimbaran,2024-01-01,10,30,False,False,False,False,False,Rainy,25.7,Tidak Ramai
Sidewalk Jimbaran,2024-01-01,11,39,False,False,False,False,False,Sunny,32.4,Tidak Ramai
Sidewalk Jimbaran,2024-01-01,12,47,False,False,False,False,False,Cloudy,24.2,Tidak Ramai
Sidewalk Jimbaran,2024-01-01,13,53,False,False,False,False,False,Cloudy,24.1,Ramai
Sidewalk Jimbaran,2024-01-01,14,55,False,False,False,False,False,Sunny,30.7,Ramai
Sidewalk Jimbaran,2024-01-01,15,56,False,False,False,False,False,Cloudy,24.0,Ramai
Sidewalk Jimbaran,2024-01-01,16,57,False,False,False,False,False,Rainy,27.7,Ramai
Sidewalk Jimbaran,2024-01-01,17,62,False,False,False,False,False,Rainy,28.0,Ramai
Sidewalk Jimbaran,2024-01-01,18,69,False,False,False,False,False,Sunny,32.3,Ramai
Sidewalk Jimbaran,2024-01-01,19,76,False,False,False,False,False,Rainy,24.3,Sangat Ramai
Sidewalk Jimbaran,2024-01-01,20,75,False,False,False,False,False,Cloudy,29.0,Ramai
Sidewalk Jimbaran,2024-01-01,21,62,False,False,False,False,False,Sunny,27.3,Ramai
Sidewalk Jimbaran,2024-01-01,22,0,False,False,False,False,False,Sunny,28.6,Tidak Ramai
Sidewalk Jimbaran,2024-01-01,23,0,False,False,False,False,False,Cloudy,24.7,Tidak Ramai
Sidewalk Jimbaran,2024-01-02,6,0,False,False,False,False,False,Rainy,24.1,Tidak Ramai
Sidewalk Jimbaran,2024-01-02,7,0,False,False,False,False,False,Rainy,25.6,Tidak Ramai
Sidewalk Jimbaran,2024-01-02,8,0,False,False,False,False,False,Cloudy,26.0,Tidak Ramai
Sidewalk Jimbaran,2024-01-02,9,0,False,False,False,False,False,Cloudy,26.9,Tidak Ramai
Sidewalk Jimbaran,2024-01-02,10,32,False,False,False,False,False,Rainy,30.0,Tidak Ramai
Sidewalk Jimbaran,2024-01-02,11,42,False,False,False,False,False,Cloudy,28.9,Tidak Ramai
Sidewalk Jimbaran,2024-01-02,12,50,False,False,False,False,False,Rainy,28.8,Tidak Ramai
Sidewalk Jimbaran,2024-01-02,13,55,False,False,False,False,False,Cloudy,29.7,Ramai
Sidewalk Jimbaran,2024-01-02,14,56,False,False,False,False,False,Sunny,28.6,Ramai
Sidewalk Jimbaran,2024-01-02,15,55,False,False,False,False,False,Sunny,31.4,Ramai
Sidewalk Jimbaran,2024-01-02,16,56,False,False,False,False,False,Sunny,31.4,Ramai
Sidewalk Jimbaran,2024-01-02,17,59,False,False,False,False,False,Rainy,29.9,Ramai
Sidewalk Jimbaran,2024-01-02,18,69,False,False,False,False,False,Rainy,30.0,Ramai
Sidewalk Jimbaran,2024-01-02,19,77,False,False,False,False,False,Rainy,25.7,Sangat Ramai
Sidewalk Jimbaran,2024-01-02,20,78,False,False,False,False,False,Sunny,31.2,Sangat Ramai
Sidewalk Jimbaran,2024-01-02,21,66,False,False,False,False,False,Rainy,29.7,Ramai
Sidewalk Jimbaran,2024-01-02,22,0,False,False,False,False,False,Cloudy,27.9,Tidak Ramai
Sidewalk Jimbaran,2024-01-02,23,0,False,False,False,False,False,Sunny,32.3,Tidak Ramai
Sidewalk Jimbaran,2024-01-03,6,0,False,False,False,False,False,Rainy,28.6,Tidak Ramai
Sidewalk Jimbaran,2024-01-03,7,0,False,False,False,False,False,Sunny,29.4,Tidak Ramai
Sidewalk Jimbaran,2024-01-03,8,0,False,False,False,False,False,Sunny,32.1,Tidak Ramai
Sidewalk Jimbaran,2024-01-03,9,0,False,False,False,False,False,Sunny,32.5,Tidak Ramai
Sidewalk Jimbaran,2024-01-03,10,29,False,False,False,False,False,Sunny,32.4,Tidak Ramai
Sidewalk Jimbaran,2024-01-03,11,41,False,False,False,False,False,Rainy,29.0,Tidak Ramai
Sidewalk Jimbaran,2024-01-03,12,51,False,False,False,False,False,Cloudy,28.0,Ramai
Sidewalk Jimbaran,2024-01-03,13,57,False,False,False,False,False,Rainy,26.0,Ramai
Sidewalk Jimbaran,2024-01-03,14,58,False,False,False,False,False,Sunny,32.9,Ramai
Sidewalk Jimbaran,2024-01-03,15,57,False,False,False,False,False,Rainy,28.5,Ramai
Sidewalk Jimbaran,2024-01-03,16,56,False,False,False,False,False,Sunny,29.5,Ramai
Sidewalk Jimbaran,2024-01-03,17,59,False,False,False,False,False,Rainy,25.0,Ramai
Sidewalk Jimbaran,2024-01-03,18,70,False,False,False,False,False,Sunny,32.5,Ramai
Sidewalk Jimbaran,2024-01-03,19,80,False,False,False,False,False,Sunny,29.9,Sangat Ramai
Sidewalk Jimbaran,2024-01-03,20,81,False,False,False,False,False,Sunny,30.7,Sangat Ramai
Sidewalk Jimbaran,2024-01-03,21,67,False,False,False,False,False,Cloudy,24.8,Ramai
Sidewalk Jimbaran,2024-01-03,22,0,False,False,False,False,False,Rainy,24.7,Tidak Ramai
Sidewalk Jimbaran,2024-01-03,23,0,False,False,False,False,False,Cloudy,28.3,Tidak Ramai
Sidewalk Jimbaran,2024-01-04,6,0,False,False,False,False,False,Rainy,29.7,Tidak Ramai
Sidewalk Jimbaran,2024-01-04,7,0,False,False,False,False,False,Rainy,29.3,Tidak Ramai
Sidewalk Jimbaran,2024-01-04,8,0,False,False,False,False,False,Sunny,31.1,Tidak Ramai
Sidewalk Jimbaran,2024-01-04,9,0,False,False,False,False,False,Rainy,26.2,Tidak Ramai
Sidewalk Jimbaran,2024-01-04,10,33,False,False,False,False,False,Cloudy,24.9,Tidak Ramai
Sidewalk Jimbaran,2024-01-04,11,44,False,False,False,False,False,Sunny,29.9,Tidak Ramai
Sidewalk Jimbaran,2024-01-04,12,54,False,False,False,False,False,Rainy,24.2,Ramai
Sidewalk Jimbaran,2024-01-04,13,60,False,False,False,False,False,Cloudy,27.1,Ramai
Sidewalk Jimbaran,2024-01-04,14,60,False,False,False,False,False,Sunny,28.9,Ramai
Sidewalk Jimbaran,2024-01-04,15,59,False,False,False,False,False,Rainy,25.9,Ramai
Sidewalk Jimbaran,2024-01-04,16,58,False,False,False,False,False,Cloudy,24.4,Ramai
Sidewalk Jimbaran,2024-01-04,17,61,False,False,False,False,False,Sunny,30.3,Ramai
Sidewalk Jimbaran,2024-01-04,18,70,False,False,False,False,False,Cloudy,24.3,Ramai
Sidewalk Jimbaran,2024-01-04,19,79,False,False,False,False,False,Rainy,28.6,Sangat Ramai
Sidewalk Jimbaran,2024-01-04,20,80,False,False,False,False,False,Sunny,31.4,Sangat Ramai
Sidewalk Jimbaran,2024-01-04,21,69,False,False,False,False,False,Cloudy,25.7,Ramai
Sidewalk Jimbaran,2024-01-04,22,0,False,False,False,False,False,Cloudy,26.5,Tidak Ramai
Sidewalk Jimbaran,2024-01-04,23,0,False,False,False,False,False,Cloudy,25.6,Tidak Ramai
Sidewalk Jimbaran,2024-01-05,6,0,False,False,False,False,False,Cloudy,28.5,Tidak Ramai
Sidewalk Jimbaran,2024-01-05,7,0,False,False,False,False,False,Rainy,28.6,Tidak Ramai
Sidewalk Jimbaran,2024-01-05,8,0,False,False,False,False,False,Rainy,27.6,Tidak Ramai
Sidewalk Jimbaran,2024-01-05,9,0,False,False,False,False,False,Rainy,26.8,Tidak Ramai
Sidewalk Jimbaran,2024-01-05,10,37,False,False,False,False,False,Cloudy,25.7,Tidak Ramai
Sidewalk Jimbaran,2024-01-05,11,47,False,False,False,False,False,Sunny,28.8,Tidak Ramai
Sidewalk Jimbaran,2024-01-05,12,54,False,False,False,False,False,Sunny,30.1,Ramai
Sidewalk Jimbaran,2024-01-05,13,60,False,False,False,False,False,Cloudy,24.9,Ramai
Sidewalk Jimbaran,2024-01-05,14,63,False,False,False,False,False,Cloudy,26.6,Ramai
Sidewalk Jimbaran,2024-01-05,15,65,False,False,False,False,False,Cloudy,24.9,Ramai
Sidewalk Jimbaran,2024-01-05,16,63,False,False,False,False,False,Rainy,29.5,Ramai
Sidewalk Jimbaran,2024-01-05,17,65,False,False,False,False,False,Sunny,32.9,Ramai
Sidewalk Jimbaran,2024-01-05,18,72,False,False,False,False,False,Rainy,28.7,Ramai
Sidewalk Jimbaran,2024-01-05,19,81,False,False,False,False,False,Sunny,27.1,Sangat Ramai
Sidewalk Jimbaran,2024-01-05,20,84,False,False,False,False,False,Sunny,32.9,Sangat Ramai
Sidewalk Jimbaran,2024-01-05,21,72,False,False,False,False,False,Rainy,28.2,Ramai
Sidewalk Jimbaran,2024-01-05,22,53,False,False,False,False,False,Rainy,26.6,Ramai
Sidewalk Jimbaran,2024-01-05,23,0,False,False,False,False,False,Sunny,30.3,Tidak Ramai
Sidewalk Jimbaran,2024-01-06,6,0,False,False,False,False,False,Cloudy,28.3,Tidak Ramai
Sidewalk Jimbaran,2024-01-06,7,0,False,False,False,False,False,Rainy,26.6,Tidak Ramai
Sidewalk Jimbaran,2024-01-06,8,0,False,False,False,False,False,Rainy,27.2,Tidak Ramai
Sidewalk Jimbaran,2024-01-06,9,0,False,False,False,False,False,Cloudy,29.9,Tidak Ramai
Sidewalk Jimbaran,2024-01-06,10,35,False,False,False,False,False,Rainy,24.1,Tidak Ramai
Sidewalk Jimbaran,2024-01-06,11,47,False,False,False,False,False,Sunny,30.9,Tidak Ramai
Sidewalk Jimbaran,2024-01-06,12,55,False,False,False,False,False,Rainy,29.9,Ramai
Sidewalk Jimbaran,2024-01-06,13,59,False,False,False,False,False,Sunny,28.9,Ramai
Sidewalk Jimbaran,2024-01-06,14,61,False,False,False,False,False,Cloudy,28.4,Ramai
Sidewalk Jimbaran,2024-01-06,15,61,False,False,False,False,False,Rainy,28.1,Ramai
Sidewalk Jimbaran,2024-01-06,16,63,False,False,False,False,False,Rainy,26.7,Ramai
Sidewalk Jimbaran,2024-01-06,17,69,False,False,False,False,False,Sunny,27.1,Ramai
Sidewalk Jimbaran,2024-01-06,18,82,False,False,False,False,False,Sunny,28.2,Sangat Ramai
Sidewalk Jimbaran,2024-01-06,19,95,False,False,False,False,False,Cloudy,29.8,Sangat Ramai
Sidewalk Jimbaran,2024-01-06,20,100,False,False,False,False,False,Rainy,28.0,Sangat Ramai
Sidewalk Jimbaran,2024-01-06,21,86,False,False,False,False,False,Rainy,29.8,Sangat Ramai
Sidewalk Jimbaran,2024-01-06,22,63,False,False,False,False,False,Cloudy,24.9,Ramai
Sidewalk Jimbaran,2024-01-06,23,0,False,False,False,False,False,Rainy,24.3,Tidak Ramai
